Name,Latitude,Longitude,Address,City,Post Code,Phone,Opening Times,,,,,,,,,,,,,,,
Prescot Centre (The),53.4285827,-2.8022555,Aspinall Street,Prescot,L34 5GA,0151 4434691,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: 10:00 - 15:00, Sun: 10:00 - 15:00",,,,,,,,,,,,,,,
Preston North End Football Club,53.7744894,-2.6897561,Sir Tom Finney Way,Preston,PR1 6RU,0844 8561964,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
"Preston SMRC Specialist Mobility Rehabilitation Centre , NHS Facility",53.7778882,-2.7059549,Watling Street Road,Preston,PR2 8DY,0177 2716921,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Princess Royal Sports Arena,52.978883,-0.0718208,Great Fen Road,Boston,PE21 7PB,0120 5358666,"Mon: 06:30 - 21:30, Tue: 06:30 - 21:30, Wed: 06:30 - 21:30, Thu: 06:30 - 21:30, Fri: 06:30 - 21:30, Sat: 08:00 - 18:00, Sun: 08:00 - 20:00",,,,,,,,,,,,,,,
Princesshay Shopping Centre,50.723654,-3.5295145,9 Catherine Street,Exeter,EX1 1EU,0138 2459383,"Mon: 08:00 - 19:00, Tue: 08:00 - 19:00, Wed: 08:00 - 19:00, Thu: 08:00 - 19:00, Fri: 08:00 - 19:00, Sat: 08:00 - 19:00, Sun: 08:00 - 19:00",,,,,,,,,,,,,,,
Priory Road Car Park,50.3398897,-4.7948901,Priory Road,St Austell,PL25 5AB,,"Mon: 00:00 - 23:59, Tue: 00:00 - 23:59, Wed: 00:00 - 23:59, Thu: 00:00 - 23:59, Fri: 00:00 - 23:59, Sat: 00:00 - 23:59, Sun: 00:00 - 23:59",,,,,,,,,,,,,,,
Public (The) - Sandwell College,52.5196402,-1.9928411,New Street,West Bromwich,B70 7PG,0121 5337161,"Mon: 09:00 - 18:00, Tue: 09:00 - 18:00, Wed: 09:00 - 18:00, Thu: 09:00 - 18:00, Fri: 09:00 - 18:00, Sat: 09:00 - 18:00, Sun: 09:00 - 18:00",,,,,,,,,,,,,,,
Pudsey Leisure Centre,53.7959808,-1.6631205,Market Place,Leeds,LS28 7BE,0113 3367686,"Mon: 07:15 - 22:30, Tue: 07:15 - 22:30, Wed: 07:15 - 22:30, Thu: 07:15 - 22:30, Fri: 07:15 - 22:30, Sat: 08:30 - 20:00, Sun: 09:00 - 21:00",,,,,,,,,,,,,,,
Punch Studios,52.0614396,1.1446774,6 South Street,Ipswich,IP1 3NU,0781 2441716,"Mon: 08:00 - 23:00, Tue: 08:00 - 23:00, Wed: 08:00 - 23:00, Thu: 08:00 - 23:00, Fri: 08:00 - 23:00, Sat: 08:00 - 23:00, Sun: 08:00 - 23:00",,,,,,,,,,,,,,,
The Quays “Eddie Read” Swimming and Diving Complex,50.9030255,-1.4081874,27 Harbour Parade,Southampton,SO15 1BA,0238 0720900,"Mon: 06:30 - 21:00, Tue: 06:30 - 21:00, Wed: 06:30 - 21:00, Thu: 06:30 - 21:00, Fri: 06:30 - 21:00, Sat: 09:00 - 18:00, Sun: 09:00 - 18:00",,,,,,,,,,,,,,,
The Podium,51.5386264,-0.012134,Stratford,London,E20 1EJ,0203 2881800,"Mon: 08:00 - 23:59, Tue: 08:00 - 23:59, Wed: 08:00 - 23:59, Thu: 08:00 - 23:59, Fri: 08:00 - 23:59, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Rainbow Leisure Centre,54.524445,-1.214231,The Parkway Centre,Middlesborough,TS8 0TJ,0164 2592800,"Mon: 06:00 - 22:00, Tue: 06:00 - 22:00, Wed: 06:00 - 22:00, Thu: 06:00 - 22:00, Fri: 06:00 - 22:00, Sat: 08:00 - 18:00, Sun: 08:00 - 22:00",,,,,,,,,,,,,,,
Redhouse Old Town Hall,51.746366,-3.3778828,Old Town Hall,Merthyr Tydfil,CF47 8AE,0168 5384111,"Mon: 08:30 - 17:30, Tue: 08:30 - 17:30, Wed: 08:30 - 17:30, Thu: 08:30 - 17:30, Fri: 08:30 - 17:30, Sat: 08:30 - 17:30, Sun: Contact for Information",,,,,,,,,,,,,,,
Reginald Centre (The),53.8177345,-1.5317555,263 Chapeltown Road,Leeds,LS7 3EX,0113 3367649,"Mon: 08:00 - 20:00, Tue: 08:00 - 20:00, Wed: 08:00 - 18:00, Thu: 08:00 - 18:00, Fri: 08:00 - 18:00, Sat: 08:00 - 12:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Ridings Shopping Centre (The),53.6818766,-1.4956786,Almshouse Lane,Wakefield,WF1 1DS,0192 4787787,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: 09:00 - 17:00, Sun: 10:30 - 16:00",,,,,,,,,,,,,,,
Rivelin Valley Park,53.393297,-1.5148241,Rivelin Road,Sheffield,S6 5GL,0114 2500500,"Mon: 09:00 - 16:00, Tue: 09:00 - 16:00, Wed: 09:00 - 16:00, Thu: 09:00 - 16:00, Fri: 09:00 - 16:00, Sat: 09:00 - 16:00, Sun: 09:00 - 16:00",,,,,,,,,,,,,,,
River Street Multi Storey Car Park,52.1355168,-0.4711765,River Street,Bedford,MK40 1PX,,"Mon: 07:00 - 20:00, Tue: 07:00 - 20:00, Wed: 07:00 - 20:00, Thu: 07:00 - 20:00, Fri: 07:00 - 20:00, Sat: 07:00 - 20:00, Sun: 09:00 - 18:00",,,,,,,,,,,,,,,
Riverbank Resource Centre (Facility 2),56.1259189,-3.9340169,Forthview,Stirling,FK8 1TZ,0178 6237960,"Mon: 09:30 - 15:30, Tue: 09:30 - 15:30, Wed: 09:30 - 15:30, Thu: 09:30 - 15:30, Fri: 09:30 - 15:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Riverside Centre (The),50.7024596,-1.2905508,The Quay,Isle of Wight,PO30 2QR,0198 3822209,"Mon: 08:00 - 22:00, Tue: 08:00 - 22:00, Wed: 08:00 - 22:00, Thu: 08:00 - 22:00, Fri: 08:00 - 22:00, Sat: 08:00 - 22:00, Sun: 10:00 - 13:00",,,,,,,,,,,,,,,
Riverbank Resource Centre (Facility 1),56.1256438,-3.9340035,Forthview,Stirling,FK8 1TZ,0178 6237960,"Mon: 09:30 - 15:30, Tue: 09:30 - 15:30, Wed: 09:30 - 15:30, Thu: 09:30 - 15:30, Fri: 09:30 - 15:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Roccoco Coffee Lounge & Bakery,53.6972551,-2.6898062,41-45 Chapel Brow,Leyland,PR25 3NH,0177 2623366,"Mon: 09:00 - 15:30, Tue: 09:00 - 15:30, Wed: 09:00 - 15:30, Thu: 09:00 - 15:30, Fri: 09:00 - 15:30, Sat: 09:00 - 15:30, Sun: Contact for Information",,,,,,,,,,,,,,,
Rochester Community Hub,51.3872226,0.5062694,Eastgate High Street,Rochester,ME1 1EW,0163 4337411,"Mon: 09:00 - 20:30, Tue: 09:00 - 20:30, Wed: 09:00 - 20:30, Thu: 09:00 - 20:30, Fri: 09:00 - 20:30, Sat: 10:00 - 16:00, Sun: 10:00 - 16:00",,,,,,,,,,,,,,,
Rock and River Activity Centre,53.6395795,-2.7535637,Cliffs Farm,Mawdesley,L40 2RL,0170 4822644,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Rosehill Resource Centre,56.7299045,-2.4642175,Forties Road,Montrose,DD10 9ET,0167 4673313,"Mon: 08:45 - 16:00, Tue: 08:45 - 16:00, Wed: 08:45 - 16:00, Thu: 08:45 - 16:00, Fri: 08:45 - 16:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Rotherham MBC Riverside,53.3921224,-1.3614721,Main Street,Rotherham,S60 1AE,0170 9382121,"Mon: 08:30 - 17:30, Tue: 08:30 - 17:30, Wed: 08:30 - 17:30, Thu: 08:30 - 17:30, Fri: 08:30 - 17:30, Sat: 08:30 - 16:00, Sun: 08:30 - 16:00",,,,,,,,,,,,,,,
Rothesay House,55.4532498,-4.2612228,1 Greenholm Road,Cumnock,KA18 1LH,0129 0427720,"Mon: 09:00 - 21:00, Tue: 09:00 - 21:00, Wed: 09:00 - 21:00, Thu: 09:00 - 21:00, Fri: 09:00 - 21:00, Sat: 09:00 - 13:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Royal and Derngate Theatre,52.236402,-0.8941154,19-21 Guildhall Road,Northampton,NN1 1DP,0160 4624811,"Mon: 10:00 - 18:00, Tue: 10:00 - 18:00, Wed: 10:00 - 18:00, Thu: 10:00 - 18:00, Fri: 10:00 - 18:00, Sat: 10:00 - 18:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Royal Hallamshire Hospital,53.3782176,-1.4935679,Royal Hallamshire Hospital,Sheffield,S10 2JF,0114 2711900,"Mon: 08:00 - 20:00, Tue: 08:00 - 20:00, Wed: 08:00 - 20:00, Thu: 08:00 - 20:00, Fri: 08:00 - 20:00, Sat: 08:00 - 20:00, Sun: 08:00 - 20:00",,,,,,,,,,,,,,,
Royal Liverpool Community Hospital,53.4106024,-2.964862,Prescott Street,Liverpool,L7 8XP,0151 7062000,"Mon: 08:00 - 17:00, Tue: 08:00 - 17:00, Wed: 08:00 - 17:00, Thu: 08:00 - 17:00, Fri: 08:00 - 17:00, Sat: 08:00 - 17:00, Sun: 08:00 - 17:00",,,,,,,,,,,,,,,
Royston Wardieburn Community Centre,55.9765012,-3.2297937,11 Pilton Drive North,Edinburgh,EH5 1NF,0131 5525700,"Mon: 09:00 - 21:00, Tue: 09:00 - 21:00, Wed: 09:00 - 21:00, Thu: 09:00 - 21:00, Fri: 09:00 - 21:00, Sat: 10:00 - 14:00, Sun: 13:00 - 17:00",,,,,,,,,,,,,,,
Rufford Abbey Country Park,53.1817804,-1.0348289,Ollerton,Notts,NG22 9DF,0162 3821388,"Mon: 10:30 - 16:30, Tue: 10:30 - 16:30, Wed: 10:30 - 16:30, Thu: 10:30 - 16:30, Fri: 10:30 - 16:30, Sat: 10:30 - 16:30, Sun: 10:30 - 16:30",,,,,,,,,,,,,,,
Rushmere CRU,52.0707387,1.1966699,Humber Doucy Lane,Ipswich,IP4 3PO,0147 3588505,"Mon: 00:00 - 23:59, Tue: 00:00 - 23:59, Wed: 00:00 - 23:59, Thu: 00:00 - 23:59, Fri: 00:00 - 23:59, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Sage (The),54.9676771,-1.6019324,St Mary's Square,Gateshead,NE8 2JR,0191 4434666,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Five Rivers Health & Wellbeing Centre,51.0768763,-1.7985622,Hulse Road,Salisbury,SP1 3NR,0172 2339966,"Mon: 06:00 - 22:00, Tue: 06:00 - 22:00, Wed: 06:00 - 22:00, Thu: 06:00 - 22:00, Fri: 06:00 - 22:00, Sat: 07:00 - 18:00, Sun: 07:00 - 22:00",,,,,,,,,,,,,,,
Saltway Centre,51.565713,-1.8419626,Pearl Road,Swindon,SN5 5TD,0179 3464240,"Mon: 08:30 - 17:00, Tue: 08:30 - 17:00, Wed: 08:30 - 17:00, Thu: 08:30 - 17:00, Fri: 08:30 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Sandcastle Waterpark,53.7943073,-3.0573312,South Beach,Blackpool,FY4 1BB,0125 3343602,"Mon: 10:30 - 16:30, Tue: 10:30 - 16:30, Wed: 10:30 - 16:30, Thu: 10:30 - 16:30, Fri: 10:30 - 16:30, Sat: 10:30 - 16:30, Sun: 10:30 - 16:30",,,,,,,,,,,,,,,
Sandwell Park Farm Pavilion,52.5242351,-1.9823849,Salters Lane,West Bromwich,B71 4BG,0121 5532147,"Mon: 10:00 - 16:30, Tue: 10:00 - 16:30, Wed: 10:00 - 16:30, Thu: 10:00 - 16:30, Fri: 10:00 - 16:30, Sat: 10:00 - 16:30, Sun: 10:00 - 16:30",,,,,,,,,,,,,,,
Saxon Pool and Leisure Centre,52.0811817,-0.2437689,Saxon Drive,Biggleswade,SG18 8SU,0146 2611595,"Mon: 06:00 - 22:00, Tue: 06:00 - 22:00, Wed: 06:00 - 22:00, Thu: 06:00 - 22:00, Fri: 06:00 - 22:00, Sat: 08:00 - 20:00, Sun: 08:00 - 20:00",,,,,,,,,,,,,,,
Scottish Parliament (The),55.9519963,-3.1755712,Horse Wynd,Edinburgh,EH99 1SP,0131 3485200,"Mon: 10:00 - 17:00, Tue: 09:00 - 18:30, Wed: 09:00 - 18:30, Thu: 09:00 - 18:30, Fri: 10:00 - 17:00, Sat: 10:00 - 17:00, Sun: 00:00 - 00:00",,,,,,,,,,,,,,,
Sea View,50.7322201,-1.9495303,Croft Road,Poole,BH12 3LD,0120 2721590,"Mon: 08:30 - 16:30, Tue: 08:30 - 16:30, Wed: 08:30 - 16:30, Thu: 08:30 - 16:30, Fri: 08:30 - 16:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Self Unlimited,52.6336465,-2.480905,2 Forbes Close,Telford,TF7 5LE,0195 2432065,"Mon: 00:00 - 23:59, Tue: 00:00 - 23:59, Wed: 00:00 - 23:59, Thu: 00:00 - 23:59, Fri: 00:00 - 23:59, Sat: 00:00 - 23:59, Sun: 00:00 - 23:59",,,,,,,,,,,,,,,
Sembal Resource Centre (Facility 1),50.9107013,-1.4120038,Handel Terrace,Southampton,SO15 2FH,0238 0833736,"Mon: 08:30 - 16:30, Tue: 08:30 - 16:30, Wed: 08:30 - 16:30, Thu: 08:30 - 16:30, Fri: 08:30 - 16:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Sembal Resource Centre (Facility 2),50.9107013,-1.4120038,Handel Terrace,Southampton,SO15 2FH,0238 0833736,"Mon: 08:30 - 16:30, Tue: 08:30 - 16:30, Wed: 08:30 - 16:30, Thu: 08:30 - 16:30, Fri: 08:30 - 16:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Sevenoaks Leisure Centre,51.2711566,0.1945918,Buckhurst Lane,Sevenoaks,TN13 1LW,0173 2470700,"Mon: 06:30 - 22:00, Tue: 06:30 - 22:00, Wed: 06:30 - 22:00, Thu: 06:30 - 22:00, Fri: 06:30 - 22:00, Sat: 07:00 - 18:00, Sun: 07:00 - 21:00",,,,,,,,,,,,,,,
Sewerby Hall and Gardens,54.1061897,-0.1660516,Church Lane,Bridlington,YO15 1AE,0126 2673769,"Mon: 09:00 - 16:00, Tue: 09:00 - 16:00, Wed: 09:00 - 16:00, Thu: 09:00 - 16:00, Fri: 09:00 - 16:00, Sat: 09:00 - 16:00, Sun: 09:00 - 16:00",,,,,,,,,,,,,,,
Share Trust,55.8577948,-4.3112803,6b Moorpark Court,Glasgow,G51 2JA,0141 4458992,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Sheppey Gateway,51.4066628,0.8595398,38-42 High Street,Sheerness,ME12 1NL,0300 0414141,"Mon: 09:00 - 18:00, Tue: 09:00 - 18:00, Wed: 09:00 - 18:00, Thu: 09:00 - 18:00, Fri: 09:00 - 18:00, Sat: 09:00 - 17:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Sheffield Hallam University (City Campus) Arundel Building,53.3778664,-1.4677659,122 Charles Street,Sheffield,S1 2NE,0114 2254444,"Mon: 08:00 - 17:00, Tue: 08:00 - 17:00, Wed: 08:00 - 17:00, Thu: 08:00 - 17:00, Fri: 08:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Sheffield Teaching Hospital,53.4121005,-1.4746707,Huntsman Toilets,Sheffield,S5 7AU,0114 2434343,"Mon: 08:00 - 18:30, Tue: 08:00 - 18:30, Wed: 08:00 - 18:30, Thu: 08:00 - 18:30, Fri: 08:00 - 18:30, Sat: 10:30 - 14:15, Sun: 10:30 - 14:15",,,,,,,,,,,,,,,
Shetland Public Toilet,60.155179,-1.1430248,The Esplanade,Lerwick,ZE1 0LL,00t: 1595744,"Mon: 07:00 - 23:59, Tue: 07:00 - 23:59, Wed: 07:00 - 23:59, Thu: 07:00 - 23:59, Fri: 07:00 - 23:59, Sat: 07:00 - 23:59, Sun: 07:00 - 23:59",,,,,,,,,,,,,,,
Shipley Country Park,53.0065779,-1.3595449,Slack Lane,Heanor,DE75 7GX,0177 3719961,"Mon: 09:00 - 18:30, Tue: 09:00 - 18:30, Wed: 09:00 - 18:30, Thu: 09:00 - 18:30, Fri: 09:00 - 18:30, Sat: 09:00 - 18:30, Sun: 09:00 - 18:30",,,,,,,,,,,,,,,
Ships and Castles Leisure Centre,50.1471813,-5.0501824,Castle Drive,Falmouth,TR11 4NG,0132 6212129,"Mon: 06:30 - 21:00, Tue: 06:30 - 21:00, Wed: 06:30 - 21:00, Thu: 06:30 - 21:00, Fri: 06:30 - 21:00, Sat: 08:00 - 17:30, Sun: 08:00 - 17:30",,,,,,,,,,,,,,,
Shoeburyness Leisure Centre,51.5345171,0.7760503,Delaware Road,Southend-on-Sea,SS3 9NS,0170 2293558,"Mon: 07:00 - 22:00, Tue: 07:00 - 22:00, Wed: 07:00 - 22:00, Thu: 07:00 - 22:00, Fri: 07:00 - 22:00, Sat: 09:00 - 18:00, Sun: 09:00 - 18:00",,,,,,,,,,,,,,,
Shop (The),52.4002855,-0.7278707,13 God Street,Kettering,NN16 8JA,,"Mon: 10:00 - 15:00, Tue: 10:00 - 15:00, Wed: 10:00 - 15:00, Thu: 10:00 - 15:00, Fri: 10:00 - 15:00, Sat: 10:00 - 15:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Shotts Community Centre,55.8196435,-3.7932678,Kirk Road,Shotts,ML7 5ET,0150 1821826,"Mon: 09:00 - 22:00, Tue: 09:00 - 22:00, Wed: 09:00 - 22:00, Thu: 09:00 - 22:00, Fri: 09:00 - 22:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Showroom (The),53.2092485,-0.5748751,Tritten Road,Lincoln,LN6 7QY,0152 2508360,"Mon: 09:00 - 21:30, Tue: 09:00 - 21:30, Wed: 09:00 - 21:30, Thu: 09:00 - 21:30, Fri: 09:00 - 21:30, Sat: 09:00 - 17:00, Sun: 09:00 - 17:00",,,,,,,,,,,,,,,
Silver Street Toilets,53.9593833,-1.0812024,Silver Street,York,YO1 8RY,0190 4551551,"Mon: 07:00 - 19:00, Tue: 07:00 - 19:00, Wed: 07:00 - 19:00, Thu: 07:00 - 19:00, Fri: 07:00 - 19:00, Sat: 07:00 - 19:00, Sun: 07:00 - 19:00",,,,,,,,,,,,,,,
Sir Matt Busby Sports Complex,55.8190753,-4.0318474,50 Main Street,Bellshill,ML4 3DP,0169 8747466,"Mon: 08:00 - 22:00, Tue: 08:00 - 22:00, Wed: 08:00 - 22:00, Thu: 08:00 - 22:00, Fri: 08:00 - 22:00, Sat: 09:00 - 18:00, Sun: 09:00 - 20:00",,,,,,,,,,,,,,,
Skills for People,54.9891722,-1.6074554,Key House,Jesmond,NE2 3AT,0101 2818737,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Solaris Centre,53.7825663,-3.0578659,New South Promenade,Blackpool,FY4 1RW,0125 3477477,"Mon: 06:00 - 23:59, Tue: 06:00 - 23:59, Wed: 06:00 - 23:59, Thu: 06:00 - 23:59, Fri: 06:00 - 23:59, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
South Birmingham College - Hall Green Campus,52.4340969,-1.848014,Cole Bank Road,Birmingham,B28 3ES,0800 1116311,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
South Bristol NHS Community Hospital,51.4125813,-2.5844113,Hengrove Promenade,Bristol,BS14 0D,0117 9230000,"Mon: 08:00 - 18:00, Tue: 08:00 - 18:00, Wed: 08:00 - 18:00, Thu: 08:00 - 18:00, Fri: 08:00 - 18:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
South Cliff Gardens Public Conveniences,54.0585293,-0.2131821,South Cliff Road,Bridlington,YO15 3QL,0148 2395990,"Mon: 08:00 - 18:00, Tue: 08:00 - 18:00, Wed: 08:00 - 18:00, Thu: 08:00 - 18:00, Fri: 08:00 - 18:00, Sat: 08:00 - 18:00, Sun: 08:00 - 18:00",,,,,,,,,,,,,,,
South Craven Day Services,53.9606679,-2.021392,"Navigation House, Unit A",Skipton,BD23 1RL,0175 6792787,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
South Lanarkshire Lifestyles Fairhill,55.7636872,-4.0582041,Fairhill Neilsland Road,Hamilton,ML3 8HJ,0169 8456350,"Mon: 09:00 - 23:59, Tue: 09:00 - 23:59, Wed: 09:00 - 23:59, Thu: 09:00 - 23:59, Fri: 09:00 - 23:59, Sat: 09:00 - 17:00, Sun: 09:00 - 17:00",,,,,,,,,,,,,,,
South Lanarkshire Lifestyle Swimming Pool,55.6737111,-3.7720595,Thomas Taylor Avenue,Lanark,ML11 7DG,0155 5666800,"Mon: , Tue: , Wed: , Thu: , Fri: , Sat: , Sun: ",,,,,,,,,,,,,,,
South Lanarkshire Lifestyles Community Leisure Centre,55.8213827,-4.1943398,Glenside Drive,Rutherglen,G73 3LH,0141 6429500,"Mon: 07:00 - 22:00, Tue: 07:30 - 22:00, Wed: 07:00 - 22:00, Thu: 07:00 - 22:00, Fri: 07:00 - 22:00, Sat: 09:00 - 17:00, Sun: 09:00 - 17:00",,,,,,,,,,,,,,,
South Lanarkshire Lifestyles Stonehouse,55.6870417,-3.997931,2 Udstonmill Road,Stonehouse,ML9 3JL,0169 8791327,"Mon: 08:45 - 21:00, Tue: 08:45 - 21:00, Wed: 08:45 - 21:00, Thu: 08:45 - 21:00, Fri: 08:45 - 21:00, Sat: 09:15 - 17:00, Sun: Contact for Information",,,,,,,,,,,,,,,
South Liverpool NHS Treatment Centre,53.3530658,-2.896912,32 Church Road,Liverpool,L19 2LP,0151 2959000,"Mon: 08:00 - 23:00, Tue: 08:00 - 23:00, Wed: 08:00 - 23:00, Thu: 08:00 - 23:00, Fri: 08:00 - 23:00, Sat: 08:00 - 23:00, Sun: 08:00 - 23:00",,,,,,,,,,,,,,,
Southern Regional College,54.3494162,-6.2653732,22 Castlewellan Road,Banbridge,BT32 4AY,0283 8397700,"Mon: 08:00 - 18:00, Tue: 08:00 - 18:00, Wed: 08:00 - 18:00, Thu: 08:00 - 18:00, Fri: 08:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Southport Community Service Station,53.6481053,-3.0086869,23-35 Scarisbrick Avenue,Southport,PR8 1NW,0151 2886890,"Mon: 09:00 - 16:30, Tue: 09:00 - 16:30, Wed: 09:00 - 16:30, Thu: 09:00 - 16:30, Fri: 09:00 - 16:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Southsea Library and Customer Service Centre,50.7849391,-1.0888809,19-21 Palmerston Road,Southsea,PO5 3QA,0239 2688999,"Mon: 09:30 - 18:00, Tue: 09:30 - 18:00, Wed: 09:30 - 18:00, Thu: 09:30 - 20:00, Fri: 09:30 - 17:00, Sat: 09:30 - 17:00, Sun: 11:00 - 16:00",,,,,,,,,,,,,,,
Southwark College (Bermondsey Centre),51.4966264,-0.0630241,Keeton's Road,London,SE16 4EE,0207 8151500,"Mon: 08:00 - 20:30, Tue: 08:00 - 20:30, Wed: 08:00 - 20:30, Thu: 08:00 - 20:30, Fri: 08:00 - 16:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Southwark Resource Centre,51.4827783,-0.0919567,10 Bradenham Close,London,SE17 2QB,0207 5255219,"Mon: 09:00 - 16:00, Tue: 09:00 - 16:00, Wed: 09:00 - 16:00, Thu: 09:00 - 16:00, Fri: 09:00 - 16:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Southwater One,52.673296,-2.4486403,"Unit 9, Southwater Square","Southwater Way, Telford",TF3 4JG,0195 2380000,"Mon: 08:45 - 18:00, Tue: 08:45 - 18:00, Wed: 08:45 - 18:00, Thu: 08:45 - 18:00, Fri: 08:45 - 18:00, Sat: 09:00 - 16:00, Sun: 00:00 - 00:00",,,,,,,,,,,,,,,
Space centre 1 (The),53.7634706,-2.7403412,10 Pedders Lane,Preston,PR2 2TH,0177 2760403,"Mon: 10:00 - 20:00, Tue: 10:00 - 20:00, Wed: 10:00 - 20:00, Thu: 10:00 - 20:00, Fri: 10:00 - 20:00, Sat: 10:00 - 19:00, Sun: 10:00 - 19:00",,,,,,,,,,,,,,,
Space centre 2 (The),53.7634825,-2.7405893,11 Pedders Lane,Preston,PR2 2TH,0177 2760403,"Mon: 10:00 - 20:00, Tue: 10:00 - 20:00, Wed: 10:00 - 20:00, Thu: 10:00 - 20:00, Fri: 10:00 - 20:00, Sat: 10:00 - 19:00, Sun: 10:00 - 19:00",,,,,,,,,,,,,,,
Spennymoor Leisure Centre,54.6990399,-1.6017893,High Street,Spennymoor,DL16 6DB,0300 0261161,"Mon: 07:00 - 22:00, Tue: 07:00 - 22:00, Wed: 07:00 - 22:00, Thu: 07:00 - 22:00, Fri: 07:00 - 22:00, Sat: 07:00 - 22:00, Sun: 07:00 - 17:00",,,,,,,,,,,,,,,
Splashpoint Leisure Centre,50.8120995,-0.3650103,60 Brighton Road,Worthing,BN11 2EN,0190 3231797,"Mon: 06:30 - 22:00, Tue: 06:30 - 22:00, Wed: 06:30 - 22:00, Thu: 06:30 - 22:00, Fri: 06:30 - 22:00, Sat: 06:30 - 19:00, Sun: 07:00 - 20:00",,,,,,,,,,,,,,,
Springfield Campus,51.4323873,-2.1928279,Beechfield Road,Corsham,SN13 9DN,0124 9468460,"Mon: 07:00 - 22:00, Tue: 07:00 - 22:00, Wed: 07:00 - 22:00, Thu: 07:00 - 22:00, Fri: 07:00 - 22:00, Sat: 08:00 - 18:00, Sun: 08:30 - 21:00",,,,,,,,,,,,,,,
SSE Arena (The),51.5582152,-0.2814921,Arena Square,Wembley,HA9 0AA,0208 7825629,"Mon: 10:30 - 16:30, Tue: 10:30 - 16:30, Wed: 10:30 - 16:30, Thu: 10:30 - 16:30, Fri: 10:30 - 16:30, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
