Name,Latitude,Longitude,Address,City,Post Code,Phone,Opening Times,,,,,,,,,,,,,,,
Brighton and Hove Albion (AMEX Community Stadium),50.8607055,-0.0812815,Village Way,Brighton,BN1 9BL,0844 3271901,"Mon: 07:00 - 23:59, Tue: 07:00 - 23:59, Wed: 07:00 - 23:59, Thu: 07:00 - 23:59, Fri: 07:00 - 23:59, Sat: 07:00 - 23:59, Sun: 07:00 - 23:59",,,,,,,,,,,,,,,
Brigshaw High School,53.7576788,-1.383988,Brigshaw Lane,Castleford,WF10 2HR,0113 3368100,"Mon: 09:00 - 15:00, Tue: 09:00 - 15:00, Wed: 09:00 - 15:00, Thu: 09:00 - 15:00, Fri: 09:00 - 15:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Brixworth Country Park,52.3265342,-0.9041453,Northampton Road,Brixworth,NN6 9DG,0160 4883920,"Mon: 00:00 - 23:59, Tue: 00:00 - 23:59, Wed: 00:00 - 23:59, Thu: 00:00 - 23:59, Fri: 00:00 - 23:59, Sat: 00:00 - 23:59, Sun: 00:00 - 23:59",,,,,,,,,,,,,,,
Broad Street Mall,51.4548096,-0.9758956,Broad street,Reading,RG1:7QE,0118 9576633,"Mon: 09:00 - 18:00, Tue: 09:00 - 18:00, Wed: 09:00 - 18:00, Thu: 09:00 - 18:00, Fri: 09:00 - 18:00, Sat: Contact for Information, Sun: 10:00 - 17:00",,,,,,,,,,,,,,,
Broadbridge Health Leisure Centre,51.0644968,-0.3592283,Wickhurst Lane,Broadbridge Heath,RH12 3YS,0140 3211311,"Mon: 07:00 - 10:30, Tue: 07:00 - 10:30, Wed: 07:00 - 10:30, Thu: 07:00 - 10:30, Fri: 07:00 - 10:30, Sat: 09:00 - 20:00, Sun: 21:00 - 22:30",,,,,,,,,,,,,,,
Broadgreen Hospital,53.4098687,-2.8972427,Thomas Drive,Liverpool,L14 3LB,0151 7062000,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Bromsgrove Town Centre Public Toilets,52.3352198,-2.061772,Crown Close,Bromsgrove,B61 8EX,0152 7881288,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Brownlow Community Hub,54.4453913,-6.363524,7 Brownlow Road,Craigavon,BT65 5DL,0283 8313630,"Mon: 08:30 - 22:00, Tue: 08:30 - 22:00, Wed: 08:30 - 22:00, Thu: 08:30 - 22:00, Fri: 08:30 - 22:00, Sat: 09:00 - 17:00, Sun: 14:30 - 20:30",,,,,,,,,,,,,,,
Broxbourne Day Services,51.6998376,-0.0304709,King Arthur Court,Cheshunt,EN8 8EH,0199 2636169,"Mon: 09:00 - 16:00, Tue: 09:00 - 16:00, Wed: 09:00 - 16:00, Thu: 09:00 - 16:00, Fri: 09:00 - 16:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Brunel Centre Public Toilets,51.5603267,-1.7887919,"Market Street, off Farnsby Street",Swindon,SN1 1RZ,0179 3445503,"Mon: 09:00 - 17:30, Tue: 09:00 - 17:30, Wed: 09:00 - 17:30, Thu: 09:00 - 17:30, Fri: 09:00 - 17:30, Sat: 09:00 - 17:30, Sun: Contact for Information",,,,,,,,,,,,,,,
Brunton House,56.1087392,-3.3428458,High Street,Fife,KY4 9QU,0138 3602377,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Bullring Birmingham,52.4777103,-1.8942501,Middle East Mall,Birmingham,B5 4BU,0121 6321526,"Mon: 10:00 - 20:00, Tue: 10:00 - 20:00, Wed: 10:00 - 20:00, Thu: 10:00 - 20:00, Fri: 10:00 - 20:00, Sat: 09:00 - 20:00, Sun: 11:00 - 17:00",,,,,,,,,,,,,,,
Bulwell Riverside Joint Services Centre,53.0007621,-1.1965957,Main Street,Bulwell North,NG6 9HY,0115 8833500,"Mon: 07:00 - 20:00, Tue: 07:00 - 20:00, Wed: 07:00 - 20:00, Thu: 07:00 - 20:00, Fri: 07:00 - 20:00, Sat: 08:00 - 16:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Burnie Day Centre,57.6716559,-2.9657972,Highfield Road,Buckie,AB56 1JE,0154 2832272,"Mon: 09:00 - 16:00, Tue: 09:00 - 16:00, Wed: 09:00 - 16:00, Thu: 09:00 - 16:00, Fri: 09:00 - 16:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Burton Stone Centre,53.9740074,-1.0895407,Evelyn Crescent,Cliftonville,YO30 6DR,0190 4645816,"Mon: 08:30 - 15:30, Tue: 08:30 - 21:00, Wed: 08:30 - 21:00, Thu: 08:30 - 21:00, Fri: 08:30 - 15:30, Sat: 09:00 - 14:00, Sun: Contact for Information",,,,,,,,,,,,,,,
